id,person_info,label
460790679,2024-12-20 15:51:43$%$45V$%$天能$%$72Ah,电池额定电压/额定容量与填写信息不一致
460796201,2024-04-09 08:23:10$%$72V$%$超威$%$60Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460802483,2024-04-08 17:59:48$%$60V$%$超威$%$60Ah,非电池相关信息图片
460797429,2022-02-04 13:06:43$%$48V$%$星恒$%$24Ah,非规范电池信息图片|||电池生产日期与填写信息不一致
460810274,2025-03-02 10:11:58$%$72V$%$天能$%$32Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460803801,2019-05-18 10:30:20$%$72V$%$其他品牌:科源$%$70Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460796353,2023-01-03 13:26:56$%$48V$%$其他品牌:电小超$%$50Ah,非规范电池信息图片
460790794,2025-03-01 20:12:17$%$48V$%$极速蓝天$%$30Ah,电池生产日期与填写信息不一致
460791920,2024-05-20 11:50:14$%$48V$%$星恒$%$24Ah,电池生产日期与填写信息不一致
460811862,2023-10-09 10:37:26$%$60V$%$天能$%$72Ah,电池品牌图片与填写品牌信息不一致|||电池额定电压/额定容量与填写信息不一致
460804800,2024-02-16 09:32:46$%$60V$%$其他品牌:光宇$%$40Ah,非电池相关信息图片
460812173,2023-08-21 07:58:15$%$48V$%$其他品牌:五羊$%$50Ah,非规范电池信息图片
460792274,2021-12-28 14:29:57$%$60V$%$其他品牌:金远航$%$55Ah,电池品牌图片与填写品牌信息不一致
460805704,2021-12-13 09:14:17$%$60V$%$其他品牌:劲锐科智能锂电$%$50Ah,非规范电池信息图片
460800611,2025-04-01 21:04:56$%$72V$%$其他品牌:广宏换电$%$60Ah,使用电池规格严重超标，不符合国标要求
460812723,2025-03-15 13:21:36$%$60V$%$其他品牌:隆洁$%$70Ah,非规范电池信息图片
460797511,2024-03-26 00:12:07$%$48V$%$其他品牌:星驰$%$40Ah,使用电池规格严重超标，不符合国标要求
460795066,2024-05-25 07:58:50$%$60V$%$极速蓝天$%$80Ah,非规范电池信息图片|||电池品牌图片与填写品牌信息不一致
460794212,2024-06-15 15:50:02$%$72V$%$其他品牌:航通达$%$40Ah,使用电池规格严重超标，不符合国标要求
460793319,2024-02-10 11:03:01$%$12V$%$天能$%$12.3Ah,
460811366,2023-11-27 10:00:37$%$50V$%$极速蓝天$%$48Ah,电池额定电压/额定容量与填写信息不一致
460804911,2025-03-08 10:38:42$%$72V$%$顶爵能源$%$35Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460801608,2025-04-07 16:15:48$%$60V$%$天能$%$20Ah,非电池相关信息图片
460801300,2021-10-21 21:31:46$%$48V$%$星恒$%$24Ah,非规范电池信息图片
460799241,2023-05-02 08:31:54$%$48V$%$星恒$%$15Ah,非规范电池信息图片
460794316,2025-04-18 10:23:13$%$60V$%$其他品牌:其他$%$20Ah,非电池相关信息图片
460809866,2025-02-08 14:55:43$%$48V$%$超威$%$20Ah,非电池相关信息图片
460800784,2025-04-10 07:54:12$%$72V$%$超威$%$20Ah,非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460807499,2023-05-06 10:21:29$%$72V$%$星恒$%$80Ah,使用电池不符合规范|||使用电池规格严重超标，不符合国标要求
460803763,2023-10-17 13:26:34$%$80V$%$其他品牌:三元$%$100Ah,非电池相关信息图片|||非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460812237,2023-10-08 00:35:48$%$35V$%$星恒$%$52Ah,非电池相关信息图片
460799392,2025-01-15 11:05:32$%$12V$%$天能$%$20Ah,非规范电池信息图片
460808232,2023-12-01 19:15:31$%$6V$%$超威$%$20.5Ah,电池额定电压/额定容量与填写信息不一致
460806996,2022-07-26 18:59:39$%$60V$%$其他品牌:渤洲锂电$%$60Ah,非规范电池信息图片
460796007,2025-03-01 19:37:05$%$48V$%$极速蓝天$%$30Ah,电池生产日期与填写信息不一致
460790314,2025-03-10 10:04:52$%$84V$%$其他品牌:锂电池$%$72Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460810030,2023-07-23 10:13:15$%$60V$%$其他品牌:铁塔$%$30Ah,非规范电池信息图片
460809605,2023-11-25 07:34:46$%$48V$%$天能$%$25Ah,电池生产日期与填写信息不一致
460796015,2025-04-07 13:21:33$%$780V$%$超威$%$20Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460803005,2022-06-05 09:52:28$%$62V$%$其他品牌:猛狮科技$%$32Ah,非规范电池信息图片
460793740,2023-04-20 10:32:23$%$72V$%$超威$%$80Ah,非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460812711,2025-02-16 00:18:35$%$60V$%$天能$%$20Ah,非电池相关信息图片
460799749,2025-04-17 09:31:01$%$60V$%$超威$%$42Ah,非电池相关信息图片
460811826,2024-03-01 12:25:24$%$48V$%$其他品牌:米拉科技$%$24Ah,非规范电池信息图片
460811198,2020-08-03 15:32:30$%$42V$%$超威$%$72Ah,非规范电池信息图片|||电池生产日期与填写信息不一致|||电池额定电压/额定容量与填写信息不一致
460796287,2024-10-13 14:48:13$%$40V$%$天能$%$20Ah,非规范电池信息图片
460807927,2024-04-16 17:46:06$%$12V$%$其他品牌:爱玛$%$21.8Ah,电池生产日期与填写信息不一致
460804207,2024-04-09 21:32:51$%$48V$%$超威$%$50Ah,非电池相关信息图片
460799863,2022-09-08 17:53:00$%$60V$%$其他品牌:松吉$%$30Ah,非规范电池信息图片
460795691,2023-11-10 08:03:45$%$72V$%$其他品牌:金锂享$%$80Ah,非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460798869,2025-03-11 14:13:26$%$60V$%$其他品牌:光宇$%$35Ah,非电池相关信息图片
460795418,2024-06-02 16:13:33$%$48V$%$星恒$%$24Ah,非规范电池信息图片
460797360,2024-09-01 19:23:06$%$60V$%$其他品牌:盛利换电$%$50Ah,电池品牌图片与填写品牌信息不一致
460803490,2023-03-10 15:59:56$%$48V$%$星恒$%$24Ah,非规范电池信息图片
460795258,2024-04-17 10:46:11$%$72V$%$超威$%$32Ah,非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460804687,2024-11-01 10:40:21$%$72V$%$天能$%$32Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460791010,2025-03-18 09:06:47$%$48V$%$超威$%$20Ah,非电池相关信息图片
460808940,2021-11-26 10:49:42$%$48V$%$其他品牌:铁塔$%$25Ah,非规范电池信息图片
460794309,2024-01-14 16:02:52$%$72V$%$天能$%$60Ah,非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460810601,2025-03-29 15:27:41$%$48V$%$其他品牌:单多多换电$%$50Ah,非电池相关信息图片
460805372,2024-11-26 13:24:37$%$72V$%$其他品牌:三元$%$120Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460805980,2025-04-05 10:07:00$%$72V$%$其他品牌:锂纳斯$%$30Ah,使用电池规格严重超标，不符合国标要求
460790394,2024-11-10 16:56:00$%$12V$%$超威$%$60Ah,非规范电池信息图片
460798380,2025-01-16 13:56:23$%$60V$%$天能$%$20Ah,非电池相关信息图片
460799311,2022-12-24 16:24:39$%$48V$%$其他品牌:伏速达$%$60Ah,非规范电池信息图片
460790888,2023-10-11 15:59:19$%$48V$%$天能$%$20Ah,非规范电池信息图片
460803616,2025-04-18 10:28:20$%$60V$%$其他品牌:安达$%$50Ah,非规范电池信息图片|||电池生产日期与填写信息不一致
460813201,2025-04-26 07:59:15$%$60V$%$其他品牌:铁塔$%$30Ah,非电池相关信息图片
460798485,2024-05-10 19:55:41$%$48V$%$其他品牌:鹏达锂电$%$80Ah,非规范电池信息图片
460796726,2024-07-14 16:56:19$%$45V$%$超威$%$32Ah,非电池相关信息图片
460792811,2024-10-07 18:38:17$%$40V$%$其他品牌:宁德威锂$%$34Ah,非规范电池信息图片
460799565,2024-04-08 14:37:08$%$72V$%$其他品牌:塞得$%$70Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460796886,2024-02-28 20:48:51$%$60V$%$其他品牌:蓄骑士$%$60Ah,非规范电池信息图片
460793743,2025-04-08 14:16:48$%$48V$%$天能$%$99Ah,非电池相关信息图片
460807553,2024-04-01 11:26:01$%$48V$%$超威$%$50Ah,非电池相关信息图片
460793628,2023-11-14 12:06:52$%$96V$%$超威$%$32Ah,电池生产日期与填写信息不一致|||电池额定电压/额定容量与填写信息不一致|||使用电池规格严重超标，不符合国标要求
460806816,2025-04-01 18:34:32$%$60V$%$其他品牌:单多多智行$%$40Ah,非电池相关信息图片
460791881,2024-02-17 10:29:21$%$72V$%$其他品牌:湃邦$%$40Ah,使用电池规格严重超标，不符合国标要求
460799360,2024-03-15 10:32:58$%$72V$%$超威$%$40Ah,使用电池规格严重超标，不符合国标要求
460799789,2024-03-08 16:17:58$%$48V$%$其他品牌:台铃$%$40Ah,非电池相关信息图片
460795016,2025-03-17 08:47:32$%$72V$%$其他品牌:超能$%$70Ah,电池品牌图片与填写品牌信息不一致|||使用电池规格严重超标，不符合国标要求
460790988,2023-07-15 20:31:29$%$60V$%$顶爵能源$%$55Ah,非规范电池信息图片
460794747,2025-01-15 06:19:25$%$12V$%$天能$%$20Ah,非规范电池信息图片
460796954,2025-04-06 19:10:28$%$72V$%$超威$%$100Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460803396,2023-08-01 10:26:07$%$48V$%$天能$%$32Ah,电池品牌图片与填写品牌信息不一致
460805327,2024-11-23 06:59:39$%$48V$%$天能$%$20Ah,非规范电池信息图片
460809948,2025-02-16 09:17:56$%$60V$%$超威$%$20Ah,使用电池不符合规范
460814440,2024-12-14 22:46:04$%$60V$%$其他品牌:锂纳斯$%$20Ah,非电池相关信息图片
460803221,2022-06-18 10:30:02$%$48V$%$其他品牌:佳创$%$20Ah,电池额定电压/额定容量与填写信息不一致
460811878,2025-04-11 21:28:21$%$72V$%$其他品牌:黄金甲$%$70Ah,非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460806364,2023-07-01 09:54:35$%$72V$%$极速蓝天$%$50Ah,使用电池规格严重超标，不符合国标要求
460805912,2024-04-14 13:49:00$%$60V$%$超威$%$60Ah,使用电池不符合规范
460795777,2023-09-29 08:08:36$%$60V$%$其他品牌:科源$%$100Ah,非规范电池信息图片|||电池品牌图片与填写品牌信息不一致
460797091,2024-03-07 14:38:35$%$48V$%$其他品牌:德兰谱锂电池$%$24Ah,电池品牌图片与填写品牌信息不一致
460798830,2025-01-07 20:14:09$%$72V$%$天能$%$20Ah,电池生产日期与填写信息不一致|||电池额定电压/额定容量与填写信息不一致|||使用电池规格严重超标，不符合国标要求
460795921,2023-05-17 19:01:22$%$12V$%$天能$%$35.5Ah,非规范电池信息图片
460801747,2024-08-18 08:32:33$%$60V$%$超威$%$20Ah,电池额定电压/额定容量与填写信息不一致
460811363,2024-07-03 00:11:27$%$72V$%$其他品牌:锂电池$%$65Ah,使用电池规格严重超标，不符合国标要求
460798487,2024-07-01 23:48:57$%$48V$%$其他品牌:宁德时代$%$45Ah,非规范电池信息图片
460791308,2024-01-30 12:44:25$%$22V$%$超威$%$12Ah,电池额定电压/额定容量与填写信息不一致
460798054,2025-04-04 07:03:46$%$48V$%$其他品牌:换一换$%$48Ah,非规范电池信息图片|||电池品牌图片与填写品牌信息不一致
460794256,2024-01-01 09:57:36$%$48V$%$其他品牌:远达锂电$%$48Ah,非规范电池信息图片
460791273,2024-04-02 14:27:10$%$48V$%$其他品牌:垚硕$%$70Ah,非电池相关信息图片
460802090,2023-09-13 08:43:07$%$60V$%$其他品牌:启航职能锂电$%$50Ah,电池品牌图片与填写品牌信息不一致
460795028,2024-03-10 15:27:21$%$12V$%$天能$%$25Ah,电池生产日期与填写信息不一致
460810839,2023-02-25 21:58:28$%$60V$%$其他品牌:琼锂电池$%$32Ah,非规范电池信息图片
460800357,2022-10-20 16:39:34$%$48V$%$其他品牌:万里锂电$%$120Ah,电池生产日期与填写信息不一致
460806495,2023-03-15 19:04:00$%$60V$%$其他品牌:大三元$%$80Ah,非规范电池信息图片
460812632,2025-02-15 09:38:05$%$60V$%$其他品牌:小哈$%$48Ah,非电池相关信息图片
460790592,2024-07-16 20:24:35$%$60V$%$其他品牌:劲锐科智能锂电$%$50Ah,电池生产日期与填写信息不一致
460800645,2022-05-18 11:21:12$%$48V$%$其他品牌:天贸锂电$%$20Ah,非规范电池信息图片
460804673,2024-09-08 07:30:35$%$48V$%$其他品牌:万锂挑一$%$30Ah,非规范电池信息图片
460800208,2024-08-22 15:23:53$%$60V$%$其他品牌:铁塔能源$%$50Ah,
460810971,2025-04-01 09:56:01$%$60V$%$其他品牌:星奇迹$%$50Ah,非规范电池信息图片
460814049,2025-03-17 07:51:16$%$60V$%$超威$%$20Ah,非电池相关信息图片
460799379,2023-04-01 20:32:12$%$48V$%$其他品牌:博邦$%$50Ah,非规范电池信息图片
460798030,2024-08-25 10:02:50$%$60V$%$其他品牌:鑫盛源锂电$%$50Ah,电池品牌图片与填写品牌信息不一致
460806402,2024-02-26 09:43:26$%$72V$%$其他品牌:爱派$%$105Ah,使用电池规格严重超标，不符合国标要求
460798143,2024-11-21 10:22:30$%$48V$%$超威$%$20Ah,非规范电池信息图片
460805049,2025-01-15 17:26:07$%$60V$%$其他品牌:满旭$%$50Ah,非电池相关信息图片
460791586,2025-01-17 10:25:09$%$48V$%$天能$%$20Ah,非规范电池信息图片|||电池生产日期与填写信息不一致
460793099,2024-10-10 17:20:21$%$60V$%$天能$%$20Ah,非规范电池信息图片
460795895,2025-03-17 10:27:09$%$70V$%$其他品牌:华跃$%$72Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460806412,2025-04-01 14:35:23$%$48V$%$其他品牌:小哈换电$%$30Ah,非电池相关信息图片
460808007,2024-04-20 15:23:43$%$48V$%$天能$%$3.3Ah,非电池相关信息图片
460792927,2023-04-17 08:43:22$%$60V$%$其他品牌:锂电池$%$60Ah,使用电池不符合规范
460805187,2024-12-28 10:43:49$%$60V$%$超威$%$20Ah,非规范电池信息图片
460796109,2024-12-18 10:00:59$%$72V$%$其他品牌:郎宸$%$80Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460794288,2023-04-18 08:04:53$%$48V$%$其他品牌:锂电池$%$60Ah,非电池相关信息图片
460796842,2021-08-12 15:00:17$%$60V$%$其他品牌:阵风锂电池$%$20Ah,非规范电池信息图片
460804801,2017-12-04 09:55:21$%$48V$%$星恒$%$24Ah,电池生产日期与填写信息不一致
460796492,2022-03-07 10:39:54$%$60V$%$其他品牌:众科锂电$%$50Ah,非规范电池信息图片|||电池品牌图片与填写品牌信息不一致
460802166,2025-01-05 12:47:31$%$60V$%$超威$%$80Ah,非规范电池信息图片|||电池品牌图片与填写品牌信息不一致|||电池生产日期与填写信息不一致|||电池额定电压/额定容量与填写信息不一致
460801125,2024-11-01 12:43:17$%$48V$%$其他品牌:星月马$%$35Ah,非规范电池信息图片
460806974,2024-08-09 14:27:59$%$48V$%$星恒$%$40Ah,非规范电池信息图片
460792269,2024-05-27 10:39:59$%$60V$%$其他品牌:蓄骑士$%$90Ah,非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460803671,2024-08-05 07:59:12$%$60V$%$其他品牌:旭派$%$20Ah,非规范电池信息图片
460811591,2024-04-10 15:19:27$%$60V$%$其他品牌:三元锂$%$70Ah,非电池相关信息图片
460812063,2024-11-17 08:22:52$%$60V$%$天能$%$60Ah,电池生产日期与填写信息不一致
460791012,2024-04-01 17:52:48$%$75V$%$超威$%$60Ah,电池品牌图片与填写品牌信息不一致|||使用电池规格严重超标，不符合国标要求
460801572,2024-10-16 10:21:55$%$72V$%$其他品牌:宁德时代$%$150Ah,使用电池规格严重超标，不符合国标要求
460800558,2024-04-12 10:23:05$%$72V$%$其他品牌:宏湾$%$50Ah,使用电池规格严重超标，不符合国标要求
460792182,2025-04-01 14:01:36$%$12V$%$超威$%$20.5Ah,电池生产日期与填写信息不一致
460795013,2022-06-06 19:08:19$%$60V$%$其他品牌:海天超$%$80Ah,非规范电池信息图片
460804013,2023-11-17 11:01:54$%$60V$%$其他品牌:鹏来换电锂电池$%$50Ah,非规范电池信息图片
460801611,2023-09-07 17:45:06$%$52V$%$其他品牌:宁德$%$66Ah,非电池相关信息图片
460806844,2022-01-11 08:07:16$%$48V$%$天能$%$15Ah,非规范电池信息图片
460810666,2024-12-09 16:00:09$%$48V$%$星恒$%$12Ah,电池生产日期与填写信息不一致
460795848,2024-10-25 18:01:32$%$60V$%$其他品牌:BMS$%$60Ah,非规范电池信息图片
460803998,2024-04-16 10:43:28$%$60V$%$超威$%$70Ah,电池品牌图片与填写品牌信息不一致|||电池生产日期与填写信息不一致|||电池额定电压/额定容量与填写信息不一致
460814663,2023-11-03 13:53:17$%$48V$%$其他品牌:桌能动力新能源$%$25Ah,电池品牌图片与填写品牌信息不一致
460795692,2024-12-09 14:05:38$%$48V$%$其他品牌:阵风$%$120Ah,非规范电池信息图片
460801050,2023-07-20 07:02:42$%$48V$%$星恒$%$24Ah,非规范电池信息图片
460804470,2025-05-01 09:18:25$%$60V$%$超威$%$60Ah,非电池相关信息图片
460800470,2025-01-08 14:44:16$%$48V$%$超威$%$20Ah,非规范电池信息图片|||电池额定电压/额定容量与填写信息不一致
460798493,2024-09-28 14:21:38$%$60V$%$其他品牌:小涴电$%$50Ah,非电池相关信息图片
460807797,2024-04-02 08:57:53$%$60V$%$天能$%$60Ah,非规范电池信息图片
460802564,2024-03-13 14:46:31$%$48V$%$其他品牌:铁塔$%$48Ah,非规范电池信息图片
460809158,2023-03-09 18:14:54$%$40V$%$超威$%$30Ah,非电池相关信息图片
460807684,2024-10-31 10:30:47$%$73V$%$超威$%$32Ah,使用电池规格严重超标，不符合国标要求
460806596,2024-10-31 18:07:15$%$30V$%$其他品牌:博邦$%$35Ah,电池额定电压/额定容量与填写信息不一致
460794180,2023-10-01 11:12:53$%$48V$%$星恒$%$24Ah,电池生产日期与填写信息不一致
460792710,2024-04-08 14:33:50$%$60V$%$超威$%$20Ah,非电池相关信息图片
460801667,2025-03-27 22:56:41$%$48V$%$天能$%$20Ah,非规范电池信息图片
460812665,2024-07-06 01:50:54$%$60V$%$其他品牌:菲力能新能源$%$20Ah,非规范电池信息图片
460801142,2025-03-18 17:36:34$%$72V$%$其他品牌:锂响换电$%$72Ah,非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460791592,2024-04-05 17:27:14$%$60V$%$其他品牌:鑫胜源$%$60Ah,非规范电池信息图片
460805478,2024-04-07 18:55:16$%$72V$%$天能$%$20Ah,使用电池规格严重超标，不符合国标要求
460814143,2023-12-10 10:28:43$%$65V$%$其他品牌:沪爵铝电池$%$65Ah,电池品牌图片与填写品牌信息不一致|||电池生产日期与填写信息不一致|||电池额定电压/额定容量与填写信息不一致
460793768,2024-06-15 10:08:11$%$60V$%$其他品牌:雅迪$%$26Ah,电池额定电压/额定容量与填写信息不一致
460799196,2024-12-27 17:50:43$%$72V$%$天能$%$20Ah,非规范电池信息图片|||使用电池规格严重超标，不符合国标要求
460811156,2025-03-04 08:30:44$%$72V$%$其他品牌:远航$%$120Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460801126,2022-12-12 08:21:26$%$48V$%$超威$%$24Ah,非规范电池信息图片
460813051,2024-12-17 15:35:57$%$60V$%$超威$%$20Ah,非电池相关信息图片
460811261,2025-02-17 10:18:55$%$12V$%$天能$%$20Ah,非电池相关信息图片
460796318,2024-12-05 14:52:44$%$60V$%$超威$%$20Ah,非规范电池信息图片
460797063,2025-01-01 17:47:36$%$60V$%$其他品牌:吉峰$%$72Ah,电池额定电压/额定容量与填写信息不一致
460802521,2025-04-16 08:00:32$%$60V$%$星恒$%$58Ah,非电池相关信息图片
460793985,2021-10-06 13:20:35$%$60V$%$其他品牌:深远大锂电$%$50Ah,非规范电池信息图片|||电池品牌图片与填写品牌信息不一致
460806826,2024-01-18 10:26:14$%$220V$%$超威$%$48Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460812539,2023-06-23 10:46:40$%$48V$%$星恒$%$24Ah,非规范电池信息图片
460790811,2023-10-28 18:45:52$%$48V$%$其他品牌:海雷$%$30Ah,非规范电池信息图片
460805321,2025-04-08 14:22:54$%$48V$%$超威$%$20Ah,非电池相关信息图片
460811440,2022-03-26 17:12:18$%$48V$%$其他品牌:宁德时代三元锂电$%$30Ah,电池品牌图片与填写品牌信息不一致|||电池生产日期与填写信息不一致
460795869,2025-04-03 16:59:12$%$48V$%$其他品牌:九号$%$30Ah,非规范电池信息图片
460806386,2025-03-16 10:42:10$%$60V$%$超威$%$20Ah,非规范电池信息图片
460803325,2024-04-22 10:31:21$%$72V$%$其他品牌:绘尔美$%$100Ah,使用电池规格严重超标，不符合国标要求
460794399,2024-10-25 16:22:02$%$60V$%$超威$%$12Ah,电池额定电压/额定容量与填写信息不一致
460794832,2024-10-28 20:16:57$%$64V$%$其他品牌:卡伯尔$%$20Ah,非规范电池信息图片
460808141,2024-07-03 01:03:55$%$48V$%$天能$%$20Ah,非规范电池信息图片
460792882,2023-10-18 10:03:57$%$60V$%$其他品牌:铵安锂电$%$60Ah,非规范电池信息图片
460797577,2022-11-10 12:35:13$%$48V$%$天能$%$20Ah,非规范电池信息图片|||电池生产日期与填写信息不一致
460806819,2025-02-15 10:22:30$%$72V$%$其他品牌:旭派$%$32Ah,使用电池规格严重超标，不符合国标要求
460797078,2024-12-14 08:19:52$%$72V$%$其他品牌:行牧人$%$135Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求
460799207,2024-03-09 14:12:14$%$12V$%$超威$%$32Ah,非规范电池信息图片
460794253,2023-03-04 09:22:59$%$60V$%$其他品牌:安耐行$%$80Ah,非规范电池信息图片
460797400,2021-12-13 10:00:23$%$60V$%$其他品牌:劲锐科智能锂电$%$50Ah,非规范电池信息图片
460798293,2024-07-03 12:24:50$%$48V$%$其他品牌:博邦$%$60Ah,非规范电池信息图片
460794561,2024-11-30 14:50:13$%$72V$%$其他品牌:众科$%$60Ah,使用电池规格严重超标，不符合国标要求
460796351,2022-02-11 12:39:41$%$72V$%$其他品牌:青棵锂电$%$55Ah,非电池相关信息图片|||使用电池规格严重超标，不符合国标要求